UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
AC;Sena Madureira;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;10,06521739;463;46;50
AC;Tarauacá;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40;3960;99;99
AC;Rio Branco;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;19,62758621;8538;435;1234
AC;Brasiléia;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;21,14285714;444;21;22
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;30;3870;129;133
AL;Maceió;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;41,0084474;3043811;74224;74679
AL;Mata Alagoana;Quantidade Produzida;Q3;1990;BRASIL;BRASIL;Cana-de-Açúcar;43,99464119;7906013;179704;181141
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;30,91510602;798970;25844;25844
AL;Palmeira dos Índios;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;42,39981826;93322;2201;2201
AL;Arapiraca;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;46,76481965;483595;10341;10341
AL;Penedo;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;47,69347174;1033756;21675;21675
AL;Serrana dos Quilombos;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;45,0986521;1856937;41175;41950
AL;São Miguel dos Campos;Quantidade Produzida;Q4;1990;BRASIL;BRASIL;Cana-de-Açúcar;53,82346654;10927294;203021;203021
AL;Serrana do Sertão Alagoano;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;20;7300;365;365
AM;Parintins;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;30;300;10;10
AM;Boca do Acre;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;30,625;735;24;24
AM;Madeira;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;29,76190476;2500;84;84
AM;Rio Preto da Eva;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;55,1875;88300;1600;1600
AM;Alto Solimões;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35,98663697;16158;449;449
AM;Itacoatiara;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40;280;7;7
AM;Purus;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40;2960;74;74
AM;Coari;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;27,82051282;1085;39;39
AM;Juruá;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;27,21153846;1415;52;56
AM;Manaus;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35,85365854;1470;41;41
AM;Rio Negro;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40;200;5;5
AP;Mazagão;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;20;240;12;15
BA;Vitória da Conquista;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;30,57869823;51678;1690;1690
BA;Ilhéus-Itabuna;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;37,75990324;124872;3307;3307
BA;Porto Seguro;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;41,7109289;340820;8171;8171
BA;Juazeiro;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;70,6962306;510144;7216;7216
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;20;2600;130;130
BA;Senhor do Bonfim;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;45;5625;125;125
BA;Irecê;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;44,59681093;39156;878;884
BA;Jacobina;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;40,7518797;5420;133;133
BA;Euclides da Cunha;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;20;800;40;40
BA;Ribeira do Pombal;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;34,85714286;4880;140;140
BA;Guanambi;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;31,56550464;224557;7114;7469
BA;Brumado;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;29,15205843;43903;1506;1506
BA;Valença;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;47,5;2850;60;60
BA;Serrinha;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;20;400;20;20
BA;Entre Rios;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;35;910;26;26
BA;Catu;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;46,2625575;754311;16305;16305
BA;Santo Antônio de Jesus;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;48,69867825;526871;10819;10819
