UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
RO;Porto Velho;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;64,701834862;14105;218;229
BA;Vitória da Conquista;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;51,397276265;132091;2570;2715
BA;Ilhéus-Itabuna;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;42,837750485;66270;1547;1547
BA;Porto Seguro;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;62,281434155;3138922;50399;50399
CE;Sobral;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;25,3125;405;16;16
CE;Ipu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;24,209677419;4503;186;186
CE;Chorozinho;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;26,309523810;1105;42;42
CE;Sertão de Inhamuns;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;25,35;1014;40;40
CE;Baixo Jaguaribe;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;67,750357995;141937;2095;2095
CE;Iguatu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;19,285714286;675;35;35
CE;Lavras da Mangabeira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;17,8;1780;100;100
CE;Brejo Santo;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;28,5;399;14;14
PB;Sousa;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;24,342105263;1850;76;88
PB;Itaporanga;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;37,776119403;5062;134;134
PB;Cariri Ocidental;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;34;68;2;2
PE;Salgueiro;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;30;300;10;25
PE;Pajeú;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;21,688524590;13230;610;615
